v1	ppiDB1	v2	ppiDB2	label	set
4281	12515	1962	3550	1	Seen
56474	9339	56474	9339	1	Seen
10159	6928	10488	11820	1	One Unseen
80258	5026	8985	20505	1	One Unseen
80258	5026	5601	8191	1	One Unseen
27238	8623	7186	12713	1	Unseen
170626	15057	64395	0	1	Seen
55086	19487	4292	8642	1	Unseen
10813	6430	23641	12471	1	Unseen
23641	12471	468	11579	1	Unseen
23641	12471	2669	3766	1	One Unseen
23641	12471	7138	16638	1	One Unseen
23641	12471	9491	16346	1	One Unseen
23641	12471	10813	6430	1	Unseen
23641	12471	11170	19177	1	Unseen
23641	12471	63898	19634	1	One Unseen
23641	12471	65265	10345	1	Unseen
23641	12471	79165	17276	1	Unseen
23641	12471	84619	9738	1	One Unseen
23641	12471	342132	1008	1	Unseen
4107	12176	25801	12606	1	One Unseen
4103	17696	80700	6143	1	Seen
8269	15133	10488	11820	1	Unseen
